# (c) Der Bundeswahlleiter, Wiesbaden 2017
# 
# Wahl zum 19. Deutschen Bundestag (24. September 2017)
# Endgültige Ergebnisse der Erst- und Zweitstimmen sowie der Vorperiode nach Wahlkreisen
# 
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Magdeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
218;München-Ost;9;239169;236523;239169;236523;186913;168795;186913;168795;1226;1355;745;753;185687;167440;186168;168042;;;;;39621;48051;29744;39187;11655;5713;14124;7131;28278;17100;29866;21719;68255;74745;58483;66349;16451;6920;27459;13775;13822;;15959;7807;;3757;787;3814;;1145;158;621;3223;4978;2111;2600;;;1530;1124;2693;2702;1546;1575;;;1576;;1390;2080;942;1235;;;;;;;;146;;;79;41;299;249;43;45;;;;;;;;;;;;;;;;;;;;;;;366;;;;563;;;;56;;;;262;;;;;;;;;;;;;;;;;;;;;;;;159;;;;355;;;;;;;;;;;;;210;;;;;;;;206;;;;;;;;;;;;;;;;457;
219;München-Süd;9;216725;215368;216725;215368;170483;154146;170483;154146;1086;975;659;749;169397;153171;169824;153397;;;;;39873;43571;27500;36877;12611;6027;14694;7341;23343;17407;29560;21440;55894;66513;50686;58097;15332;4650;22587;10727;12921;4661;14578;7082;;3950;719;4003;;744;144;632;2803;2912;1982;2493;;;1467;1092;2679;2598;1458;1418;2415;;1655;;1190;;890;1088;;;;;;;;125;164;;79;42;172;138;50;49;;;;;;;;;;;;;;;;;;;;;;;378;;;;625;;;;30;;;;241;;;;;;;;;;;;;;;;;;;;;;;;157;;;;344;;;;;;;;;;;;;224;;;;;;;;256;;;;;;;;;;;;;;;;411;
220;München-West/Mitte;9;241282;239700;241282;239700;193399;174322;193399;174322;1322;1303;778;789;192077;173019;192621;173533;;;;;44283;49419;30617;41108;13569;7135;16638;8312;31385;22743;35605;27068;64014;73661;57322;64221;17369;6984;26356;12850;12852;;14895;7249;;4420;797;4313;;996;170;643;3450;3713;1956;2387;;;1560;1219;3033;2796;1650;1770;;;1823;;1690;;1073;1002;;;;;;;;142;;;52;125;225;185;71;60;;;;;;;;;;;;;;;;;;;;;;;417;;;;728;;;;58;;;;266;;;;;;;;;;;;;;;;;;;;;;;;179;;;;388;;;;;;;;;;;;;249;;;;;;;;291;;;;;;;;;;;;;207;967;;524;
221;München-Land;9;235172;233398;235172;233398;197265;180602;197265;180602;1129;1093;900;1110;196136;179509;196365;179492;;;;;31943;36736;27490;35540;7708;3796;9996;5088;26890;19918;24837;17654;85347;94347;73189;84406;18312;6753;30054;14940;16458;7164;18470;8741;;3091;742;3311;;;184;596;6250;5336;3705;3829;;;1903;1260;3228;1846;1630;1502;;;1295;;;;1276;1266;;;;;;325;;193;;;26;31;;;28;22;;;;;;;;;;;;;;;;;;;;;;;268;;;;423;;;;30;;;;266;;;;;;;;;;;;;;;;;;;;;;;;255;;;;298;;;;;;;;;;;;;177;;;;;;;;225;;;;;;;;;;;;;;197;;711;
222;Rosenheim;9;235170;231069;235170;231069;186492;162958;186492;162958;1544;1336;1035;1147;184948;161622;185457;161811;;;;;21890;20229;20967;23966;7036;3932;9449;4688;17307;15125;18571;13631;84981;93964;75178;87569;13750;4272;20311;8040;23988;6571;25697;7792;1073;3651;602;2788;;;285;772;6177;4484;4426;3653;;;1643;1111;4053;3290;2157;2419;;;1041;;4495;3674;3425;3088;;;;;;;;167;;;36;24;198;189;87;96;;;;;;;;;;;;;;;;;;;;;;;277;;;;322;;;;50;;;;379;;;;;;;;;;;;;;;;;;;;;;;;227;;;;327;;;;;;;;;;;;;241;;;;;;;;269;;;;;;;;;;;;;;2241;;1497;
223;Bad Tölz-Wolfratshausen – Miesbach;9;165527;163940;165527;163940;132612;118741;132612;118741;1358;1554;795;882;131254;117187;131817;117859;;;;;14792;20112;14457;16918;6922;3480;6486;3140;17786;9357;13605;9364;62465;66141;54786;63502;10702;6071;16343;6929;13025;;15391;6842;;2419;412;1714;;;213;559;;7206;3459;3708;;;1142;826;;2401;1063;1312;;;629;;5562;;2710;1998;;;;;;;;133;;;19;15;;;22;28;;;;;;;;;;;;;;;;;;;;;;;182;;;;276;;;;10;;;;259;;;;;;;;;;;;;;;;;;;;;;;;158;;;;195;;;;;;;;;;;;;273;;;;;;;;160;;;;;;;;;;;;;;;;438;
224;Starnberg – Landsberg am Lech;9;213628;210748;213628;210748;177013;160415;177013;160415;1334;1417;747;904;175679;158998;176266;159511;;;;;29308;28955;22332;27131;6983;4405;9594;4754;20864;16615;23111;17066;73948;84080;67512;77657;16893;10082;24950;12277;15607;1312;17460;7931;2024;3581;601;2919;;574;242;724;4264;4404;2863;2987;;;1531;1197;3119;3568;1620;1887;;;1072;;2253;1405;1792;1833;;;;;;14;;147;;;25;20;;;23;20;;;;;;;;;;;;;;;;;;;;;;;330;;;;343;;;;19;;;;347;;;;;;;;;;;;;;;;;;;;;;;;178;;;;321;;;;;;;;;;;;;262;;;;;;;;228;;;;;;;;;;;;;416;3;;471;
225;Traunstein;9;208466;206868;208466;206868;160615;141456;160615;141456;1390;1544;1046;1126;159225;139912;159569;140330;;;;;25659;24570;18916;20875;7144;4117;8508;4193;12972;11973;14680;12334;80056;87598;71196;80351;9034;3313;14614;6139;16276;;19191;4597;;3034;443;2116;;;349;771;;;3811;2843;;;1212;912;3537;3390;1690;1843;;;789;;4547;;2924;1808;;;;;;;;164;;;16;18;;;22;36;;;;;;;;;;;;;;;;;;;;;;;175;;;;229;;;;22;;;;361;;;;;;;;;;;;;;;;;;;;;;;;184;;;;237;;;;;;;;;;;;;202;;;;;;;;187;;;;;;;;;;;;;;1917;;941;
226;Weilheim;9;167159;165415;167159;165415;134333;119201;134333;119201;1295;1341;766;969;133038;117860;133567;118232;;;;;19722;19372;15402;18049;6229;3337;7214;3553;12066;8939;12753;9266;63784;67678;57254;62418;9370;3736;13909;6162;13383;;16145;6620;;1851;352;1765;;1007;227;654;;4670;2876;3222;;;1186;836;4629;3076;2145;2141;;;724;;3855;4194;2225;2576;;;;;;;;137;;;22;35;;;14;25;;;;;;;;;;;;;;;;;;;;;;;186;;;;204;;;;15;;;;292;;;;;;;;;;;;;;;;;;;;;;;;162;;;;260;;;;;;;;;;;;;172;;;;;;;;211;;;;;;;;;;;;;;;;390;
227;Deggendorf;9;166659;165957;166659;165957;119455;100308;119455;100308;1064;894;701;779;118391;99414;118754;99529;;;;;20612;16066;16915;16700;4955;3024;5892;3367;5342;4450;5528;4370;52167;60975;48182;55877;4707;1950;8968;3810;20438;3205;22765;3985;;1418;241;1370;;1777;489;1541;6563;4667;4785;4205;;;927;721;;109;824;993;;;374;;3607;1773;2258;1652;;;;;;;;72;;;18;11;;;16;13;;;;;;;;;;;;;;;;;;;;;;;86;;;;96;;;;8;;;;118;;;;;;;;;;;;;;;;;;;;;;;;106;;;;158;;;;;;;;;;;;;90;;;;;;;;186;;;;;;;;;;;;;;;;566;
228;Landshut;9;249836;246103;249836;246103;192966;167952;192966;167952;1731;1613;1266;1191;191235;166339;191700;166761;;;;;25970;27100;25095;26720;6869;4832;9270;5074;12514;13785;13856;11181;75702;96356;75521;89865;16297;5038;19361;7840;24080;;28061;6007;;3291;612;2605;;2169;504;1351;22378;9859;10631;8856;;;1758;1310;3979;3909;2133;2123;;;976;;3446;;2557;2378;;;;;;;;177;;;30;22;;;22;27;;;;;;;;;;;;;;;;;;;;;;;237;;;;260;;;;29;;;;224;;;;;;;;;;;;;;;;;;;;;;;;239;;;;324;;;;;;;;;;;;;266;;;;;;;;299;;;;;;;;;;;;;;;;660;
229;Passau;9;177387;175517;177387;175517;131350;111024;131350;111024;1179;1229;779;909;130171;109795;130571;110115;;;;;24611;21558;19709;20349;6246;3541;7357;4139;7248;5693;8393;6590;61835;65598;52937;59369;7900;;11918;4945;18328;3451;20967;4320;;2069;318;1721;;1150;394;1003;;3795;3146;3167;;;1054;804;4003;2940;1698;1834;;;587;;;;1270;1027;;;;;;;;97;;;15;13;;;15;19;;;;;;;;;;;;;;;;;;;;;;;143;;;;131;;;;13;;;;151;;;;;;;;;;;;;;;;;;;;;;;;170;;;;185;;;;;;;;;;;;;119;;;;;;;;175;;;;;;;;;;;;;;;;424;
230;Rottal-Inn;9;168642;168478;168642;168478;124299;107566;124299;107566;1239;1268;794;917;123060;106298;123505;106649;;;;;17683;17056;15765;16066;4851;2756;5510;2840;6061;5073;6478;5242;55364;65095;52752;62705;8625;2179;11215;4344;18539;3129;20401;3827;;58;277;1471;;1669;363;1323;6030;5561;4690;3784;;;1023;740;3131;2950;2004;1793;;772;460;;2776;;1859;1432;;;;;;;;135;;;11;17;;;19;32;;;;;;;;;;;;;;;;;;;;;;;109;;;;99;;;;10;;;;160;;;;;;;;;;;;;;;;;;;;;;;;156;;;;144;;;;;;;;;;;;;121;;;;;;;;195;;;;;;;;;;;;;;;;582;
231;Straubing;9;173953;173773;173953;173773;129424;111537;129424;111537;1374;1167;1215;988;128050;110370;128209;110549;;;;;21525;19400;17512;17790;4766;2757;5590;3297;4602;3582;5846;4324;60976;67579;53712;63887;5670;2596;10308;4653;19261;3662;23576;4375;;1915;281;1627;;1858;583;1513;5875;3820;5410;4171;;;946;688;2749;3201;1647;1939;;;441;;2626;;1700;1390;;;;;;;;138;;;19;16;;;7;14;;;;;;;;;;;;;;;;;;;;;;;86;;;;95;;;;15;;;;164;;;;;;;;;;;;;;;;;;;;;;;;122;;;;149;;;;;;;;;;;;;81;;;;;;;;191;;;;;;;;;;;;;;;;455;
232;Amberg;9;215876;215146;215876;215146;169507;151021;169507;151021;1657;1542;1302;1285;167850;149479;168205;149736;;;;;25580;31253;26080;29036;7461;4909;8948;5052;11612;7365;11997;8997;80075;87248;71720;80073;8388;3148;12854;5633;18790;;21550;5273;;3781;475;2920;;2229;666;1586;10184;5722;7103;5681;;;1536;981;2851;3824;1747;1959;;;928;;1835;;1450;1375;;;;;;;;152;;;48;32;;;18;30;;;;;;;;;;;;;;;;;;;;;;;187;;;;184;;;;21;;;;242;;;;;;;;;;;;;;;;;;;;;;;;222;;;;229;;;;;;;;;;;;;142;;;;;;;;280;;;;;;;;;1074;;;;;;;534;
233;Regensburg;9;252916;248820;252916;248820;198780;171954;198780;171954;1891;1394;1119;1315;196889;170560;197661;170639;;;;;32862;37541;28582;32902;11761;5839;13259;6617;18343;14202;20332;15759;78858;82648;74720;82556;12254;6830;17719;7835;23275;6229;25625;7000;1656;3453;777;3354;;1442;422;1280;12922;7799;8374;6886;;;1704;1261;4599;4184;1949;2571;;;1358;;;;1376;1320;;;;;;;;137;;;31;33;;;31;23;;;;;;;;;;;;;;;;;;;;;;;232;;;;286;;;;42;;;;268;;;;;;;;;;;;;;;;;;;;;;;;234;;;;340;;;;;;;;;;359;;;213;;;;;;;;279;;;;;;;;;;;;;;393;;613;
234;Schwandorf;9;216418;216389;216418;216389;162549;141364;162549;141364;3463;1247;1268;1564;159086;140117;161281;139800;;;;;38461;34716;26122;27066;7929;3820;7339;4505;6172;4516;7302;5927;77092;80840;66827;76453;7392;2430;10608;4701;;;28006;4575;;;444;2153;;2155;646;1705;15496;6524;8278;6858;;;1280;1020;3624;2152;1388;1527;;;594;;;2964;1592;2120;;;;;;;;159;;;31;38;;;15;21;;;;;;;;;;;;;;;;;;;;;;;104;;;;141;;;;16;;;;162;;;;;;;;;;;;;;;;;;;;;;;;195;;;;191;;;;;;;;;;;;;103;;;;;;;;253;;;;;;;;;;;;;2920;;;616;
235;Weiden;9;168415;170403;168415;170403;130514;118903;130514;118903;2323;1114;1172;1193;128191;117789;129342;117710;;;;;28614;25881;24631;26484;5677;3117;6204;3982;4553;4531;6426;5072;59285;64930;55691;62126;5269;1735;8479;3953;;2855;17411;4243;;1806;352;1758;;1895;494;1909;7295;4165;5061;4259;;;966;772;1613;1489;960;1098;;;580;;3103;;1293;1071;;;;;;;;162;;;22;18;;;14;19;;;;;;;;;;;;;;;;;;;;;;;113;;;;97;;;;17;;;;143;;;;;;;;;;;;;;;;;;;;;;;;196;;;;192;;;;;;;;;;;;;105;;;;;;;;254;;;;;;;;;;;;;12782;5385;;425;
236;Bamberg;9;182513;179923;182513;179923;145222;126869;145222;126869;1089;995;801;920;144133;125874;144421;125949;;;;;29475;28794;22529;24924;7504;4365;9351;5143;13194;10283;14279;11267;60675;65723;56138;61546;9364;4252;13776;6073;16603;4222;18392;5211;;3025;480;2905;;1661;566;1619;4203;3549;3425;3559;;;1305;964;1942;;947;792;;;1303;;821;;622;570;;;;;;;;131;352;;110;60;;;25;19;;;;;;;;;;;;;;;;;;;;;;;204;;;;234;;;;16;;;;285;;;;;;;;;;;;;;;;;;;;;;;;188;;;;246;;;;;;;;;;;;;139;;;;;;;;319;;;;;;;;;;;;;;;;708;
237;Bayreuth;9;163934;164828;163934;164828;127222;115659;127222;115659;1051;1187;693;855;126171;114472;126529;114804;;;;;26785;29344;23198;26676;5476;3246;7022;3783;8936;7189;9994;7803;58665;63936;53063;56846;8368;3133;11369;5539;11845;3569;13566;4435;;2663;373;2192;;1392;386;1104;4434;;3441;3524;;;1015;796;;;532;556;1662;;1194;;;;347;398;;;;;;;;111;;;24;24;;;12;16;;;;;;;;;;;;;;;;;;;;;;;138;;;;156;;;;15;;;;177;;;;;;;;;;;;;;;;;;;;;;;;189;;;;318;;;;;;;;;;;;;112;;;;;;;;245;;;;;;;;;;;;;;;;644;
238;Coburg;9;159654;162587;159654;162587;123200;113159;123200;113159;1507;996;1021;1021;121693;112163;122179;112138;;;;;32163;36370;27553;31297;6305;3739;6895;4468;7129;4327;8155;6380;55078;56302;48410;52429;5877;1850;9967;4506;12763;3178;14208;4776;;1717;387;1811;583;1771;560;1644;;2909;2449;2448;;;1135;688;1659;;637;543;;;829;;;;236;312;;;;;;;;101;136;;71;39;;;13;17;;;;;;;;;;;;;;;;;;;;;;;107;;;;156;;;;12;;;;131;;;;;;;;;;;;;;;;;;;;;;;;138;;;;130;;;;;;;;;;;;;112;;;;;;;;250;;;;;;;;;;;;;;;;317;
239;Hof;9;167552;172085;167552;172085;126918;117057;126918;117057;1060;1078;1126;1188;125858;115979;125792;115869;;;;;29641;33146;27775;30817;5560;5206;7185;5566;5936;6396;6989;6244;59182;63895;48772;54357;4716;1512;9890;4381;14893;4133;16605;5063;957;;498;2231;;1691;565;1438;3362;;3301;2585;;;1284;1020;;;381;497;1253;;1260;;;;343;590;;;;;;;;154;;;34;19;;;18;14;;;;;;;;;;;;;;;;;;;;;;;184;;;;147;;;;16;;;;172;;;;;;;;;;;;;;;;;;;;;;;;176;;;;197;;358;;;;;;;;;;;84;;;;;;;;228;;;;;;;;;;;;;;;;581;
240;Kulmbach;9;170897;172449;170897;172449;135072;122307;135072;122307;1395;1225;1160;1207;133677;121082;133912;121100;;;;;21494;27587;23675;26030;5057;3616;6431;4392;5880;4845;7966;6396;74105;68903;58112;63378;5381;1996;10335;4513;15497;3829;17997;4800;;2212;421;2316;;2013;742;2017;4199;3533;3560;3476;;;1203;889;2064;1430;932;856;;;1006;;;1118;514;758;;;;;;;;120;;;51;28;;;10;12;;;;;;;;;;;;;;;;;;;;;;;150;;;;153;;;;17;;;;247;;;;;;;;;;;;;;;;;;;;;;;;199;;;;191;;;;;;;;;;;;;122;;;;;;;;307;;;;;;;;;;;;;;;;690;
241;Ansbach;9;243760;243643;243760;243643;185955;166555;185955;166555;2052;1683;1537;1458;183903;164872;184418;165097;;;;;33755;38331;31464;36690;11179;6202;12208;6368;13946;9665;16239;13771;81431;87922;74425;78640;7661;7454;13825;7619;19396;;21734;5950;;3938;812;3276;;2496;788;2008;11980;6705;6252;5208;;;1585;1114;4244;;2131;1848;;;1209;;;1522;494;860;;;;;;;;156;;;36;23;;;21;33;;;;;;;;;;;;;;;;;;;;;;;176;;;;178;;;;25;;;;292;;;;;;;;;;;;;;;;;;;;;;;;291;;;;233;;;;;;;;;;311;433;;239;;;;;;;;351;;;;;;;;;;;;;;204;;943;
242;Erlangen;9;180730;179506;180730;179506;148048;135186;148048;135186;888;863;676;937;147160;134323;147372;134249;;;;;30965;35377;25578;32638;8633;5611;11115;5840;16179;11980;19862;15395;62767;65151;52414;55940;8713;2990;14973;7440;11670;4393;13953;5590;1354;3216;678;3311;;957;361;917;4229;4079;3235;3684;;;1167;901;2650;;1266;1144;;;1254;;;569;280;507;;;;;;;;113;;;68;45;;;17;26;;;;;;;;;;;;;;;;;;;;;;;212;;;;302;;;;16;;;;216;;;;;;;;;;;;;;;;;;;;;;;;142;;;;263;;;;;;;;;;;;;126;;;;;;;;222;;;;;;;;;;;;;;;;410;
243;Fürth;9;255491;253603;255491;253603;198742;178211;198742;178211;1715;1370;1398;1504;197027;176841;197344;176707;;;;;45055;47936;37089;44485;13311;7524;15442;8816;19088;14595;20540;16126;78559;86997;69472;75595;10618;3239;17545;8251;20968;5588;23033;7824;;4792;861;4148;;2246;676;1739;8619;3924;5169;4335;;;2110;1338;;;1258;1374;;;1750;;809;;630;772;;;;;;;;217;;;50;70;;;21;30;;;;;;;;;;;;;;;;;;;;;;;262;;;;369;;;;46;;;;334;;;;;;;;;;;;;;;;;;;;;;;;324;;;;363;;;;;;;;;;;;;185;;;;;;;;305;;;;;;;;;;;;;;;;1097;
244;Nürnberg-Nord;9;192214;193031;192214;193031;146205;132674;146205;132674;1282;1053;902;1027;144923;131621;145303;131647;;;;;37068;41666;26456;35310;14511;8099;16962;9311;18463;13336;21909;17444;45340;51829;40106;45748;10379;3556;15412;7150;13398;4417;14503;5906;;4055;809;4221;;1341;311;1061;3058;2134;1824;1909;;;1595;1032;2342;;1254;940;;873;2076;;;;251;337;;;;;;;;147;364;122;124;149;;;18;26;;;;;;;;;;;;;;;;;;;;;;;353;;;;448;;;;108;;;;253;;;;;;;;;;;;;;;;;;;;;;;;203;;;;328;;;;;;;;;;;;;165;;;;;;;;244;;;;;;;;;;;;;;193;;547;
245;Nürnberg-Süd;9;181809;185799;181809;185799;132085;121814;132085;121814;1410;1157;1107;1239;130675;120657;130978;120575;;;;;34621;38942;27467;34363;10772;6038;11640;6948;10163;8165;12166;9705;46511;53519;40882;48881;7632;2192;11199;5087;17270;4498;18679;5737;;3056;664;2936;;1701;513;1572;3706;2378;2192;2187;;;1629;890;;;888;761;;;1253;;;;353;318;;;;;;;;131;;;66;50;;;17;11;;;;;;;;;;;;;;;;;;;;;;;259;;;;263;;;;55;;;;282;;;;;;;;;;;;;;;;;;;;;;;;259;;;;252;;;;;;;;;;;;;114;;;;;;;;214;;;;;;;;;;;;;;168;;670;
246;Roth;9;227560;226102;227560;226102;185895;168765;185895;168765;1709;1566;1341;1312;184186;167199;184554;167453;;;;;37920;46200;34040;41107;8887;6064;11635;6394;14465;11142;18033;14247;81874;84618;69743;76181;8583;5371;15990;7467;18925;;21317;6533;2070;4137;851;3252;;2598;557;1471;9191;7069;6080;6192;;;1914;1235;2271;;1206;1095;;;1257;;;;488;560;;;;;;;;192;;;36;24;;;22;18;;;;;;;;;;;;;;;;;;;;;;;227;;;;249;;;;30;;;;343;;;;;;;;;;;;;;;;;;;;;;;;256;;;;280;;;;;;;;;;;;;180;;;;;;;;293;;;;;;;;;;;;;;;;1012;
247;Aschaffenburg;9;183362;184171;183362;184171;144938;131310;144938;131310;2048;2410;1508;1964;142890;128900;143430;129346;;;;;23660;32308;25198;28408;6833;3641;8699;4691;13144;10284;13432;11135;68708;67591;55009;61741;11381;4199;15610;7003;14985;;16642;5263;;3314;464;2545;;2173;470;1550;;3373;2423;2902;;;1327;1098;2798;1551;1096;791;;;1235;;;;404;563;;;;;;;;166;344;;105;75;;;20;15;;;;;;;;;;;;;;;;;;;;;;;202;;;;201;;;;25;;;;306;;;;;;;;;;;;;;;;;;;;;;;;238;;;;324;;;;;;;;;;;;;190;;;;;;;;263;;;;;;;;;;;;;1037;466;;947;
248;Bad Kissingen;9;216030;217994;216030;217994;171202;155355;171202;155355;1795;1822;1300;1733;169407;153533;169902;153622;;;;;32383;30564;26904;27931;9071;6930;10085;6946;11980;12127;11359;9874;86603;88911;75788;82760;9534;4391;15084;7342;17753;;19650;4988;;3562;610;2980;;2789;926;2018;;4259;4075;4129;;;1428;919;2083;;1089;1119;;;1078;;;;494;756;;;;;;;;239;;;38;40;;;26;27;;;;;;;;;;;;;;;;;;;;;;;195;;;;188;;;;16;;;;313;;;;;;;;;;;;;;;;;;;;;;;;283;;;;273;;;;;;;;;;;;;167;;;;;;;;311;;;;;;;;;;;;;;;;1076;
249;Main-Spessart;9;196183;197762;196183;197762;157206;143137;157206;143137;1829;2024;1238;1707;155377;141113;155968;141430;;;;;35148;32812;28903;30486;7515;4426;8562;4839;11050;8810;11939;9972;72406;73001;65245;69953;7708;3632;13720;6413;14075;4652;16856;5583;;2822;491;2670;;1360;453;1404;5488;8045;4511;5619;;;1379;1119;1987;;951;915;;;1055;;;;344;525;;;;;;;;166;;;52;25;;;21;31;;;;;;;;;;;;;;;;;;;;;;;184;;;;170;;;;19;;;;343;;;;;;;;;;;;;;;;;;;;;;;;255;;;;515;;;;;;;;;;;;;167;;;;;;;;301;;;;;;;;;;;;;;1553;;1242;
250;Schweinfurt;9;199041;200150;199041;200150;156159;141275;156159;141275;1890;1713;1218;1416;154269;139562;154941;139859;;;;;26346;32190;26163;28872;12091;7514;10422;6940;11466;8052;11717;9903;73901;76548;63674;71264;9506;2921;13789;5906;17198;;18905;4665;;2994;540;2493;;2042;566;1333;;4614;3684;4041;;;1532;852;1973;1155;889;859;;;1002;;1525;1532;654;828;;;;;;;;155;263;;125;52;;;20;23;;;;;;;;;;;;;;;;;;;;;;;163;;;;165;;;;17;;;;407;;;;;;;;;;;;;;;;;;;;;;;;236;;;;271;;;;;;;;;;;;;114;;;;;;;;264;;;;;;;;;;;;;;;;1295;
251;Würzburg;9;225998;226597;225998;226597;182961;166593;182961;166593;1664;1364;1054;1322;181297;165229;181907;165271;;;;;33929;42136;32126;37225;10130;5374;12931;6637;25359;16454;23719;19311;76515;80776;67585;74187;14592;5323;18813;8485;13872;4831;15764;6388;;4134;646;4014;;1439;391;946;;2859;2633;2920;;;1836;1136;3072;1903;1233;1388;3828;;2049;;;;323;495;;;;;;;;182;;;60;29;;;16;20;;;;;;;;;;;;;;;;;;;;;;;314;;;;351;;;;27;;;;464;;;;;;;;;;;;;;;;;;;;;;;;217;;;;409;;;;;;;;;;;;;167;;;;;;;;319;;;;;;;;;;;;;;;;1422;
252;Augsburg-Stadt;9;210528;208231;210528;208231;153228;133378;153228;133378;1586;1354;1174;1112;151642;132024;152054;132266;;;;;29285;33145;24112;29328;12850;6408;13649;7391;21062;14568;18782;13940;52769;58622;48420;57699;9191;4511;15149;6187;20170;6301;21015;7136;;3508;936;3424;;908;334;841;3204;2764;2302;1976;;;1592;1012;2375;;1243;1034;;;1697;;;;714;700;;;;;;;;136;406;162;145;84;330;142;81;43;;;;;;;;;;;;;;;;;;;;;;;319;;;;355;;;;41;;;;335;;;;;;;;;;;;;;;;;;;;;;;;218;;;;615;;;;;;;;;;;;;205;;;;;;;;258;;;;;;;;;;;;;;985;;872;
253;Augsburg-Land;9;248812;244203;248812;244203;199077;176239;199077;176239;1814;1600;1231;1229;197263;174639;197846;175010;;;;;27813;30879;25240;30126;7231;5177;9737;5631;14809;12067;17447;12670;94252;105841;81831;93973;11976;3974;20565;8134;24279;7912;27045;9040;;3550;722;3089;;1840;533;1279;13080;;6579;3929;;;1907;1384;3823;2665;1941;1784;;;1092;;;;1494;1580;;;;;;;;168;;;46;42;;;31;29;;;;;;;;;;;;;;;;;;;;;;;239;;;;261;;;;28;;;;363;;;;;;;;;;;;;;;;;;;;;;;;262;;;;483;;;;;;;;;;;;;221;;;;;;;;390;;;;;;;;;;;;;;734;;1541;
254;Donau-Ries;9;190782;189974;190782;189974;147825;131055;147825;131055;1369;1560;1000;1297;146456;129495;146825;129758;;;;;26562;22858;20289;21616;6198;5797;6687;4260;9436;8153;10102;7773;68770;78524;63638;72065;7321;3170;13440;5824;18799;;21585;5433;;;499;1938;;2342;632;1503;7379;5371;5093;3964;;;1163;877;1991;2899;1062;1312;;;640;;;;1060;1144;;;;;;;;134;;;26;26;;;14;12;;;;;;;;;;;;;;;;;;;;;;;123;;;;130;;;;20;;;;191;;;;;;;;;;;;;;;;;;;;;;;;198;;;;233;;;;;;;;;;;;;214;;;;;;;;462;;;;;;;;;;;;;;381;;1201;
255;Neu-Ulm;9;239647;237651;239647;237651;182045;161614;182045;161614;1669;1697;1270;1248;180376;159917;180775;160366;;;;;26419;29420;24828;29023;7855;5546;9274;5958;16519;12505;14898;10417;80503;91961;72104;84598;10780;4377;18627;7485;24612;7521;27327;8986;1287;3085;858;2990;;3009;853;2444;9222;;5142;2985;;;1750;1187;2391;2493;1652;1732;;;1007;;;;871;986;;;;;;;;174;;;39;46;;;33;39;;;;;;;;;;;;;;;;;;;;;;;268;;;;217;;;;28;;;;377;;;;;;;;;;;;;;;;;;;;;;;;285;;;;337;;;;;;;;;;;;;185;;;;;;;;355;;;;;;;;;788;;;;;;;776;
256;Oberallgäu;9;226604;224278;226604;224278;176437;155635;176437;155635;1240;1531;1092;1084;175197;154104;175345;154551;;;;;21451;26722;21725;24776;8264;5530;10130;5574;16162;13011;19792;14329;88357;93494;72855;80902;12262;5501;18935;8749;16825;;18529;6695;;3072;577;2431;;;365;861;7805;;5156;3918;;;1614;1201;2233;4127;1607;2089;;;929;;1838;;1289;976;;;;;;;;153;;;40;35;;;28;30;;;;;;;;;;;;;;;;;;;;;;;559;;;;229;;;;18;;;;431;;;;;;;;;;;;;;;;;;;;;;;;211;;;;326;;;;;;;;;;;;;230;;;;;;;;290;;;;;;;;;;;;;;2647;;1312;
